,Unnamed: 0,Tweet,Usuario,Fecha,RTs,Favs,Polaridad,Subjetividad,Sentimiento,Negativo,Neutral,Positivo,Compuesto
88,88,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",teav2015,2022-06-21 01:24:04,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
89,89,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",DaniloR03074448,2022-06-21 01:23:37,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
90,90,rusia la flota rusa del mar negro se ha alineado a lo largo de la costa occidental de crimea para un ataque masivo contr…,antonior1949,2022-06-21 01:23:37,45,0,0.0,0.0,Positivo,0.0,0.902,0.098,0.34
91,91,"integrante articulo.al descubierto, una red de empresas vinculadas al nazi putin, que poseen un capital de 4.500 m… ",vieques15,2022-06-21 01:23:30,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
92,92,"mientras putin manda medicos medicamentos y todo l necesario para atender a los heridos tanto militares , prisioneros…",bezerides,2022-06-21 01:23:27,2,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
93,93,"@cdcivica no respaldas a pancho por ser catolico, lo haces porque pancho, como buen peroncho argentino, es fanatico de putin",pukakunas,2022-06-21 01:23:27,0,0,0.0,0.0,Negativo,0.109,0.891,0.0,-0.296
94,94,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,mereyanamay,2022-06-21 01:23:15,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
95,95,"""la epoca del orden mundial unipolar ha terminado""viva putin  ",RodrigezThayri,2022-06-21 01:23:09,94,0,0.0,0.0,Positivo,0.0,0.769,0.231,0.34
96,96,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",Pabla2255102021,2022-06-21 01:23:09,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
97,97,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,luciastemp,2022-06-21 01:23:03,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
98,98,mas de 100.000 personas reclaman en georgia la adhesion a la union europea ,HerberthOlivos,2022-06-21 01:22:55,1,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
99,99,@perculaess @charly_g_p @liusivaya teniendo en cuenta el amplio repertorio del significado de objetivo militar en r… ,eljibumastr,2022-06-21 01:22:52,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
